Time,Traffic_Level,Passenger_Count,Weather_Condition_Clear,Weather_Condition_Rainy,Weather_Condition_Snowy
2024-01-01 00:00:00,7,268,True,False,False
2024-01-01 01:00:00,4,95,False,True,False
2024-01-01 02:00:00,8,156,False,False,True
2024-01-01 03:00:00,5,183,False,True,False
2024-01-01 04:00:00,7,252,False,False,True
2024-01-01 05:00:00,3,274,False,False,True
2024-01-01 06:00:00,7,189,False,True,False
2024-01-01 07:00:00,8,193,True,False,False
2024-01-01 08:00:00,5,37,False,True,False
2024-01-01 09:00:00,4,89,False,False,True
2024-01-01 10:00:00,8,135,False,True,False
2024-01-01 11:00:00,8,99,False,True,False
2024-01-01 12:00:00,3,34,False,False,True
2024-01-01 13:00:00,6,195,True,False,False
2024-01-01 14:00:00,5,288,False,True,False
2024-01-01 15:00:00,2,138,False,False,True
2024-01-01 16:00:00,8,207,False,False,True
2024-01-01 17:00:00,6,76,False,True,False
2024-01-01 18:00:00,2,218,True,False,False
2024-01-01 19:00:00,5,36,False,True,False
2024-01-01 20:00:00,1,74,True,False,False
2024-01-01 21:00:00,6,288,True,False,False
2024-01-01 22:00:00,9,106,True,False,False
2024-01-01 23:00:00,1,48,True,False,False
2024-01-02 00:00:00,3,41,False,True,False
2024-01-02 01:00:00,7,67,False,False,True
2024-01-02 02:00:00,4,24,False,False,True
2024-01-02 03:00:00,9,269,False,False,True
2024-01-02 04:00:00,3,182,False,False,True
2024-01-02 05:00:00,5,221,False,False,True
2024-01-02 06:00:00,3,120,False,False,True
2024-01-02 07:00:00,7,90,False,True,False
2024-01-02 08:00:00,5,182,True,False,False
2024-01-02 09:00:00,9,192,False,False,True
2024-01-02 10:00:00,7,160,False,True,False
2024-01-02 11:00:00,2,157,False,False,True
2024-01-02 12:00:00,4,85,False,False,True
2024-01-02 13:00:00,9,217,True,False,False
2024-01-02 14:00:00,2,247,True,False,False
2024-01-02 15:00:00,9,191,True,False,False
2024-01-02 16:00:00,5,59,False,False,True
2024-01-02 17:00:00,2,26,False,False,True
2024-01-02 18:00:00,4,193,False,False,True
2024-01-02 19:00:00,7,170,True,False,False
2024-01-02 20:00:00,8,230,False,True,False
2024-01-02 21:00:00,3,105,False,False,True
2024-01-02 22:00:00,1,272,False,False,True
2024-01-02 23:00:00,4,40,False,False,True
2024-01-03 00:00:00,2,276,False,True,False
2024-01-03 01:00:00,8,52,False,False,True
2024-01-03 02:00:00,4,279,False,True,False
2024-01-03 03:00:00,2,253,False,False,True
2024-01-03 04:00:00,6,22,False,True,False
2024-01-03 05:00:00,6,246,False,False,True
2024-01-03 06:00:00,4,89,True,False,False
2024-01-03 07:00:00,6,273,True,False,False
2024-01-03 08:00:00,2,163,True,False,False
2024-01-03 09:00:00,2,43,True,False,False
2024-01-03 10:00:00,4,253,False,False,True
2024-01-03 11:00:00,8,194,True,False,False
2024-01-03 12:00:00,7,178,False,True,False
2024-01-03 13:00:00,9,37,True,False,False
2024-01-03 14:00:00,8,63,True,False,False
2024-01-03 15:00:00,5,174,True,False,False
2024-01-03 16:00:00,2,250,False,False,True
2024-01-03 17:00:00,5,244,True,False,False
2024-01-03 18:00:00,8,236,False,True,False
2024-01-03 19:00:00,9,75,True,False,False
2024-01-03 20:00:00,9,50,True,False,False
2024-01-03 21:00:00,1,78,True,False,False
2024-01-03 22:00:00,9,254,False,True,False
2024-01-03 23:00:00,7,126,True,False,False
2024-01-04 00:00:00,9,210,False,True,False
2024-01-04 01:00:00,8,37,False,True,False
2024-01-04 02:00:00,1,245,True,False,False
2024-01-04 03:00:00,8,186,False,True,False
2024-01-04 04:00:00,8,90,False,False,True
2024-01-04 05:00:00,3,73,True,False,False
2024-01-04 06:00:00,1,264,True,False,False
2024-01-04 07:00:00,8,95,False,True,False
2024-01-04 08:00:00,3,54,False,True,False
2024-01-04 09:00:00,3,286,True,False,False
2024-01-04 10:00:00,1,140,False,False,True
2024-01-04 11:00:00,5,44,False,True,False
2024-01-04 12:00:00,7,179,False,True,False
2024-01-04 13:00:00,9,103,False,False,True
2024-01-04 14:00:00,7,133,False,False,True
2024-01-04 15:00:00,9,242,True,False,False
2024-01-04 16:00:00,8,185,False,False,True
2024-01-04 17:00:00,2,210,True,False,False
2024-01-04 18:00:00,1,194,False,False,True
2024-01-04 19:00:00,7,20,False,True,False
2024-01-04 20:00:00,7,248,True,False,False
2024-01-04 21:00:00,8,105,True,False,False
2024-01-04 22:00:00,5,81,True,False,False
2024-01-04 23:00:00,3,225,False,False,True
2024-01-05 00:00:00,8,124,False,True,False
2024-01-05 01:00:00,6,269,True,False,False
2024-01-05 02:00:00,3,32,True,False,False
2024-01-05 03:00:00,1,182,True,False,False
2024-01-05 04:00:00,3,62,True,False,False
2024-01-05 05:00:00,5,130,False,True,False
2024-01-05 06:00:00,3,224,False,False,True
2024-01-05 07:00:00,1,275,False,True,False
2024-01-05 08:00:00,5,163,True,False,False
2024-01-05 09:00:00,7,165,False,True,False
2024-01-05 10:00:00,7,183,True,False,False
2024-01-05 11:00:00,9,188,False,False,True
2024-01-05 12:00:00,3,252,False,False,True
2024-01-05 13:00:00,7,290,False,False,True
2024-01-05 14:00:00,1,79,True,False,False
2024-01-05 15:00:00,4,254,False,True,False
2024-01-05 16:00:00,4,184,False,False,True
2024-01-05 17:00:00,5,213,True,False,False
2024-01-05 18:00:00,7,253,True,False,False
2024-01-05 19:00:00,7,202,False,True,False
2024-01-05 20:00:00,4,251,False,False,True
2024-01-05 21:00:00,7,126,True,False,False
2024-01-05 22:00:00,3,242,False,True,False
2024-01-05 23:00:00,6,99,False,False,True
2024-01-06 00:00:00,2,253,False,True,False
2024-01-06 01:00:00,9,203,False,True,False
2024-01-06 02:00:00,5,204,True,False,False
2024-01-06 03:00:00,6,153,True,False,False
2024-01-06 04:00:00,4,239,True,False,False
2024-01-06 05:00:00,7,221,False,True,False
2024-01-06 06:00:00,9,165,True,False,False
2024-01-06 07:00:00,7,146,False,True,False
2024-01-06 08:00:00,1,154,False,True,False
2024-01-06 09:00:00,1,133,True,False,False
2024-01-06 10:00:00,9,283,False,False,True
2024-01-06 11:00:00,9,83,False,False,True
2024-01-06 12:00:00,4,154,False,False,True
2024-01-06 13:00:00,9,60,False,True,False
2024-01-06 14:00:00,3,22,False,True,False
2024-01-06 15:00:00,7,213,False,True,False
2024-01-06 16:00:00,6,129,True,False,False
2024-01-06 17:00:00,8,240,False,True,False
2024-01-06 18:00:00,9,23,True,False,False
2024-01-06 19:00:00,5,263,True,False,False
2024-01-06 20:00:00,1,185,False,False,True
2024-01-06 21:00:00,3,45,False,False,True
2024-01-06 22:00:00,8,36,False,False,True
2024-01-06 23:00:00,6,235,True,False,False
2024-01-07 00:00:00,8,111,True,False,False
2024-01-07 01:00:00,9,50,True,False,False
2024-01-07 02:00:00,4,224,False,True,False
2024-01-07 03:00:00,1,226,True,False,False
2024-01-07 04:00:00,1,126,False,False,True
2024-01-07 05:00:00,4,165,False,False,True
2024-01-07 06:00:00,7,120,True,False,False
2024-01-07 07:00:00,2,260,True,False,False
2024-01-07 08:00:00,3,266,False,False,True
2024-01-07 09:00:00,1,182,True,False,False
2024-01-07 10:00:00,5,192,False,False,True
2024-01-07 11:00:00,1,54,False,True,False
2024-01-07 12:00:00,8,40,False,False,True
2024-01-07 13:00:00,1,182,False,True,False
2024-01-07 14:00:00,1,116,True,False,False
2024-01-07 15:00:00,2,74,True,False,False
2024-01-07 16:00:00,2,146,False,True,False
2024-01-07 17:00:00,6,212,True,False,False
2024-01-07 18:00:00,7,262,False,True,False
2024-01-07 19:00:00,5,107,True,False,False
2024-01-07 20:00:00,1,234,False,False,True
2024-01-07 21:00:00,1,111,True,False,False
